#SYMBOL,SYSTEM,MOMENT,ID_DEAL,PRICE_DEAL,VOLUME,OPEN_POS,DIRECTION
RIH1,F,20110111100030457,255224096,178850.00000,8,292622,B
RIH1,F,20110111100030457,255224097,178855.00000,13,292622,B
RIH1,F,20110111100030457,255224098,178855.00000,3,292622,B
SRH1,F,20110111100030597,255224100,10625.00000,15,649016,B
RIH1,F,20110111100030657,255224101,178870.00000,1,292630,B
RIH1,F,20110111100030657,255224102,178870.00000,3,292630,B
RIH1,F,20110111100030767,255224103,178870.00000,1,292630,S
RNH1,F,20110111100030797,255224104,22102.00000,1,23562,B
RIH1,F,20110111100030970,255224105,178870.00000,1,292630,S
RIH1,F,20110111100030970,255224106,178870.00000,1,292630,S
RNH1,F,20110111100031097,255224107,22104.00000,4,23554,B
RIH1,F,20110111100031097,255224108,178875.00000,1,292630,B
RIH1,F,20110111100031157,255224109,178870.00000,5,292630,S
SRH1,F,20110111100031253,255224110,10621.00000,20,648984,B
LKH1,F,20110111100031253,255224111,17687.00000,2,79690,B
LKH1,F,20110111100031253,255224112,17687.00000,1,79690,B
LKH1,F,20110111100031253,255224113,17687.00000,2,79690,B
EuH1,F,20110111100031517,255224114,39905.00000,1,124394,B
RIH1,F,20110111100031597,255224115,178875.00000,1,292630,B
LKH1,F,20110111100031597,255224116,17690.00000,4,79682,B
EDH1,F,20110111100031627,255224117,1.29600,1,142476,B
SiH1,F,20110111100031643,255224118,30740.00000,1,678002,B
RIH1,F,20110111100031767,255224119,178870.00000,1,292630,S
GZH1,F,20110111100031797,255224120,19646.00000,5,352516,B
RIH1,F,20110111100031940,255224121,178870.00000,7,292542,S
RIH1,F,20110111100031940,255224122,178870.00000,2,292542,S
RIH1,F,20110111100031940,255224123,178865.00000,1,292542,S
RIH1,F,20110111100031940,255224124,178860.00000,1,292542,S
RIH1,F,20110111100031940,255224125,178860.00000,18,292542,S
RIH1,F,20110111100031940,255224126,178855.00000,2,292542,S
RIH1,F,20110111100031940,255224127,178855.00000,1,292542,S
RIH1,F,20110111100031940,255224128,178855.00000,1,292542,S
RIH1,F,20110111100031940,255224129,178855.00000,19,292542,S
RIH1,F,20110111100031940,255224130,178855.00000,2,292542,S
RIH1,F,20110111100031940,255224131,178850.00000,1,292542,S
RIH1,F,20110111100031940,255224132,178850.00000,10,292542,S
RIH1,F,20110111100031940,255224133,178850.00000,8,292542,S
RIH1,F,20110111100031940,255224134,178850.00000,1,292542,S
RIH1,F,20110111100031940,255224135,178845.00000,2,292542,S
RIH1,F,20110111100031940,255224136,178845.00000,3,292542,S
RIH1,F,20110111100031940,255224137,178840.00000,10,292542,S
RIH1,F,20110111100031940,255224138,178840.00000,3,292542,S
RIH1,F,20110111100031940,255224139,178805.00000,5,292542,S
RIH1,F,20110111100031940,255224140,178805.00000,3,292542,S
RIH1,F,20110111100031940,255224141,178800.00000,1,292542,S
RIH1,F,20110111100031957,255224142,178800.00000,1,292542,B
LKH1,F,20110111100032097,255224144,17693.00000,1,79680,B
RIH1,F,20110111100032110,255224145,178795.00000,1,292542,B
RIH1,F,20110111100032110,255224146,178800.00000,4,292542,B
SiH1,F,20110111100032297,255224147,30733.00000,15,678024,S
RIH1,F,20110111100032407,255224148,178795.00000,2,292538,B
RIH1,F,20110111100032407,255224149,178795.00000,1,292538,B
RIH1,F,20110111100032407,255224150,178795.00000,1,292538,B
RIH1,F,20110111100032407,255224151,178795.00000,1,292538,B
SiH1,F,20110111100032643,255224152,30732.00000,4,678038,S
SiH1,F,20110111100032643,255224153,30732.00000,4,678038,S
SiH1,F,20110111100032643,255224154,30732.00000,1,678038,S
RIH1,F,20110111100032767,255224155,178790.00000,1,292534,B
RIH1,F,20110111100032767,255224156,178795.00000,1,292534,B
RIH1,F,20110111100032767,255224157,178800.00000,2,292534,B
RIH1,F,20110111100032893,255224158,178785.00000,2,292538,S
SRH1,F,20110111100033033,255224159,10617.00000,10,649022,B
SRH1,F,20110111100033033,255224160,10618.00000,10,649022,B
LKH1,F,20110111100033110,255224161,17687.00000,2,79676,B
LKH1,F,20110111100033110,255224162,17687.00000,5,79666,B
RIH1,F,20110111100033220,255224164,178785.00000,1,292558,B
RIH1,F,20110111100033220,255224165,178790.00000,2,292558,B
RIH1,F,20110111100033220,255224166,178795.00000,7,292558,B
RIH1,F,20110111100033253,255224167,178780.00000,3,292550,S
